,data,label,x,y
0,association southeast asian nations,3,0.4647238851580339,-0.20856685245847273
1,republic day parade live updates asean marching contingents add colour rajpath,1,0.2535312013687377,-0.1950450184728479
2,republic day list indias chief guests last decade,1,-0.08775427908798185,-0.26457536695564654
3,national capital turns fortress rday parade,3,-0.6454916475127574,0.26941238981678034
4,view time come us convert freedom good governance,4,0.5387242618427961,-0.5564673456804706
5,india national cricket team,2,-0.28861863396105014,0.09291615106725427
6,cricket world cup,2,-0.5079351167737841,0.326328284109108
7,u world cup india set semis clash pakistan thumping win,2,-0.5390515944508821,0.14646414565992744
8,india hammer bangladesh qualify cricket world cup semifinals,2,-0.48289952801457875,0.24088934078799396
9,india ease past bangladesh enter semifinal,2,-0.5210243554853986,0.028295989675079156
10,india vs pakistan semifinal u world cup,2,-0.47533369933743086,0.178775679117231
11,highlights icc u world cup india vs bangladesh super league quarterfinal full cricket score ind win,2,-0.4266200598221455,0.3366889347960048
12,live score india vs bangladesh world cup super league quarterfinal india inch closer towards victory,2,-0.3814090346558851,0.3038582853240818
13,karni sena takes roses theatre adopts unusual step,3,-0.03423823022486518,0.7814050023957934
14,gurgaon school bus attack karni sena cries conspiracy says team bhansali must behind,3,0.19266159385934858,-0.6010906458330411
15,vk singh talks consensus padmaavat gentle reminder bihar,1,-0.4740922997211632,0.5782330774401815
16,held mob protests padmaavat,3,-0.2253211920275832,-0.626875070800493
17,ilaiyaraja honoured padma vibhushan,0,-0.6571014803708761,-0.39542857947975646
18,india cricket team players india match schedule news statistics records india team photos videos,4,-0.2581118400351879,-0.0029253612541254572
19,ms dhoni pankaj advani win padma bhushan kidambi srikanth mirabai chanu padma shri,3,-0.5882856978963651,-0.2466365830413532
20,republic day ilaiyaraaja dhoni among padma awardees,1,-0.04661416654625401,-0.4904071935896954
21,tricky terrain bjp pollbound karnataka stir mahadayi water intensifies,3,0.3120205157657538,0.7259546590687702
22,rahul gandhi latest news videos photos times india,4,0.08063527108492072,-0.028842380681639773
23,karnataka bandh live amit shah takes aim siddaramaiah state suffers shut prokannada outfits,3,-0.36780531611927614,0.5724305811376067
24,amit shah says lok sabha elections held today bjp get seats,3,0.5821124839913927,-0.15648522382111751
25,republic day kerala rss chief mohan bhagwat defies govt order hoists flag private school pallakad district,1,0.02572894788564063,-0.642668070380385
26,despite kerala governments order disallowing rss chief mohan bhagwat hoists flag school,0,0.03360025476266162,-0.7294225731693229
27,mohan bhagwat defies orders hoists national flag kerala school,3,0.01768627174097828,-0.6794219367721239
28,mohan bhagwat hoists tricolour leftruled kerala time sanghrun school,4,-0.0045486921060098025,-0.7313419360688949
29,bsf refuses exchange sweets pakistan rangers ceasefire violations,2,-0.571442740093359,-0.505608994593545
30,bsfs stern message rangers provocative acts unacceptable,2,-0.42641167005066355,-0.6168966711028481
31,rday sweets pakistani rangers bsf forgoes custom killed border firing,6,-0.5007908717676921,-0.5247858848600122
32,provocative acts tolerated india tells pakistan,2,-0.4422712790621485,-0.277108183983612
33,mob rained stones chaos girl gurgaon school bus recalls horror,3,0.14797355289443181,-0.7603628960854792
34,padmaavat row arrested attack school bus gurugram,0,0.22145148464246586,-0.7272851682676039
35,day gurgaon bus horror many schools near delhi shut today,1,0.24982640049294838,-0.6696063656030041
